,ID_Composant,REF,DESCRIPTION,FAMILLE,S_FAMILLE,GAMME,MODELE,HSP,MARQUE,NATURE,FONCTION,TYPE_EQP,PUHT,NBU,DOS_IMG,DOS_DOC,FIC_IMG,FIC_DOC,MODULE,NBPORTS,EQP,INFOTEL _Role,INFOTEL_Famille,INFOTEL_Composante,INFOTEL_Nomenclature,ACTIF,DATE_CREATION,INFOTEL_Carte_Nomenclature,OS
0, 8DG59248AA, 8DG59248AA,44 CHANNEL OPTICAL MUX/DEMUX,WDM,PSS,1830,44_MUX_DEMUX,HARDWARE,ALCATEL-LUCENT,CARTE,OPTICAL TRANSPONDERS AND UPLINK,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
1, 8DG59423AA, 8DG59423AA,DCM - SMF 10KM,WDM,PSS,1830,,HARDWARE,ALCATEL-LUCENT,ACCESSOIRE,SFP,PSS,0,,,,,,,,,,,,,False,,,
2, 8DG59912AA, 8DG59912AA,FAN UNIT PSS-16,WDM,PSS,1830,,HARDWARE,ALCATEL-LUCENT,ACCESSOIRE,VENTILATION,PSS,0,,,,,,,,,,,,,False,,,
3, 8DG60094AA, 8DG60094AA,USER INTERFACE CARD PSS-16,WDM,PSS,1830,USER_INTERFACE,HARDWARE,ALCATEL-LUCENT,CARTE,INTERFACE,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
4, 8DG60175BA, 8DG60175BA,PSS-16 DC PF MANAGED (20A) W/V MONITORING,WDM,PSS,1830,6DC_PF_MANAGED,HARDWARE,ALCATEL-LUCENT,CARTE,CONTROLEUR,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
5, 8DG60349AA, 8DG60349AA,11G QUAD PORT PLUGGABLE ANYRATE (4 CLIENT),WDM,PSS,1830,4P11G,HARDWARE,ALCATEL-LUCENT,CARTE,INTERFACE,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
6,1AB373110001,SS-16.2O,OC3/STM1 PIN SFP (1510nm) with DDM,WDM,PSS,1830,SS-16.2O,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,155,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
7,1AB373120001,SL-16.2O,OC3/STM1 APD SFP (1510nm) with DDM,WDM,PSS,1830,SL-16.2O,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,205,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
8,1AB373120002,SUL-1.2O,OC3/STM1 APD ULHSFP (1510nm),WDM,PSS,1830,SUL-1.2O,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,251,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
9,1AB373120004,1AB373120004,SFP-EULH OSC 1510 APD,,,,,,ALCATEL-LUCENT,SFP,,,0,,,,,,,,,,,,,False,,,
10,1AB375380001,10GB-SR,XFP 10BASE-SR  (B&W 10G-BASE-SR DDM (850nm),WDM,PSS,1830,10GBASE-SR,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,192,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
11,1AB375380003,XS-64.2b,XFP S-64.2B/10GBE BASE-EX (B&W Multirate 11G(STM64/OC-192/OTU-2/10GBASE-EX) DDM (1550nm),WDM,PSS,1830,10GBE BASE XFP-EX,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,350,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
12,1AB375380011,1AB375380011,ALU XFP 10GBASE-SR/W 8GFC -40/+85,WDM,PSS,1830,,,ALCATEL-LUCENT,SFP,,,0,,,,,,,,,,,,,False,,,
13,1AB375380013,1AB375380013,ALU XFP I-64.1/10GBE BASE-L,WDM,PSS,1830,ALU XFP I-64.1/10GBE BASE-L,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
14,1AB375650046,XL-64TU,XFP DWDM Tunable CT (50GHz 10G XFP),WDM,PSS,1830,10GBE BASEXFP 850NM,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,2426,,,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
15,1AB376350001,1AB376350001,,,,,,,,,,,0,,,,,,,,,,,,,False,,,
16,1AB376720001,1000B-SX,SFP GBE SX -40/+85 (B&W 1GbE DDM 850nm 1000BASE-SX),WDM,PSS,1830,1000BASE-SX,HARDWARE,ALCATEL-LUCENT,SFP,PLUGGABLES,PSS,21,,,,,,SFP - GBE SX -40/+85 - B&W 1GbE DDM 850nm,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
