,ID_EQP,ID_Composant,CODNAT,MODELE,LG,RESERVE,INFOTEL,ORDRE,DOMAINE,TYPE,HOSTNAME,AXE_WDM,DATE_CREATION,USER,Localisation_CUR,Equipement_CUR,OS,Type2
0,MORU-PE1,3HE06791AA,MORU,7705SAR-8,1.0,,E-7705SAR-8-006233,6233.0,WPR,PE1,E-MORU-WPR-PE1-006233,,2020-01-02 17:16:55,,,CD359D65EA4F413E99DA419A6E4215AB,TiMOS-B-8.0.R7,PE1
1,MORU-PE2,3HE06791AA,MORU,7705SAR-8,21.0,,E-7705SAR-8-006234,6234.0,WPR,PE2,E-MORU-WPR-PE2-006234,,2020-01-02 17:16:55,,,029C5B02F56844C5B7C7DD523B505DC4,TiMOS-B-8.0.R7,PE2
2,MORU-FED1,CGS-2520-16S-8PC,MORU,CGS2520-16S,41.0,,E-CGS2520-16S-005352,5352.0,LAN,FED1,E-MORU-LAN-FED1-005352,,2020-01-02 17:16:55,,,EC46005D7E184C1081D15B62B15671F0,Version 15.2(3)E1,FED1
3,MORU-FED2,CGS-2520-16S-8PC,MORU,CGS2520-16S,55.0,,E-CGS2520-16S-005353,5353.0,LAN,FED2,E-MORU-LAN-FED2-005353,,2020-01-02 17:16:55,,,7FC16E2004534E82848EFC4DB921E2C9,Version 15.2(3)E1,FED2
4,LIMEU-PE1,3HE06791AA,LIMEU,7705SAR-8,1.0,,E-7705SAR-8-006281,6281.0,WPR,PE1,E-LIMEU-WPR-PE1-006281,,2022-04-05 09:59:46,,,0E479920B590403B848E816A8B3A6278,TiMOS-B-8.0.R7,PE1
5,LIMEU-PE2,3HE06791AA,LIMEU,7705SAR-8,20.0,,E-7705SAR-8-006282,6282.0,WPR,PE2,E-LIMEU-WPR-PE2-006282,,2022-04-05 09:59:46,,,9CACE20BBCB847229D755A535B91E0CA,TiMOS-B-8.0.R7,PE2
6,LIMEU-FED1,CGS-2520-16S-8PC,LIMEU,CGS2520-16S,40.0,,E-CGS2520-16S-005392,5392.0,LAN,FED1,E-LIMEU-LAN-FED1-005392,,2022-04-05 09:59:46,,,716A7823C0B6414682B18823946C04BD,Version 15.2(3)E1,FED1
7,COMPI-PE1,3HE06791AA,COMPI,7705SAR-8,1.0,,E-7705SAR-8-006239,6239.0,WPR,PE1,E-COMPI-WPR-PE1-006239,,2022-07-19 15:28:12,,,88DA1EFE19D3451187EAE216326CC7A9,TiMOS-B-8.0.R7,PE1
8,COMPI-PE2,3HE06791AA,COMPI,7705SAR-8,20.0,,E-7705SAR-8-006240,6240.0,WPR,PE2,E-COMPI-WPR-PE2-006240,,2022-07-19 15:28:12,,,19F6591407CC4DBCA91D3468A5D66EC0,TiMOS-B-8.0.R7,PE2
9,COMPI-FED1,CGS-2520-16S-8PC,COMPI,CGS2520-16S,40.0,,E-CGS2520-16S-005358,5358.0,LAN,FED1,E-COMPI-LAN-FED1-005358,,2022-07-19 15:28:12,,,3C99AADF046C4743BE3228CF71C7B46B,Version 15.2(3)E1,FED1
10,COMPI-FED2,CGS-2520-16S-8PC,COMPI,CGS2520-16S,54.0,,E-CGS2520-16S-005359,5359.0,LAN,FED2,E-COMPI-LAN-FED2-005359,,2022-07-19 15:28:12,,,6FA5DE50B24142838B7158EEFDE4BD00,Version 15.2(3)E1,FED2
11,COMPI-AP1,AIR-CAP1602I-E-K9,COMPI,CAP1602I-S,68.0,,E-CAP1602I-S-001179,1179.0,LAN,AP1,E-COMPI-LAN-WAP01-001179,,2022-07-19 15:28:12,,,B715CA95D1C743E3ABE46BADA4B3D743,,AP1
12,COMPI-PSS1,8DG60273AA,COMPI,1830PSS-16,72.0,,E-1830PSS-16-000296,296.0,W,PSS1,E-COMPI-W-009-000296,9.0,2022-07-19 15:28:12,,,E467BB4A317F4EA7AAED1E7A95BCF0BA,v9.0.2,PSS1
13,COMPI-RED1,INF-AES-1200,COMPI,ELTEK-RED48V,101.0,,E-ELTEK-RED48V-067183,67183.0,AES,RED1,E-COMPI-AES-RED1-067183,,2022-07-19 15:28:12,,,7CD617DE095C4E7FB16D64D0FB19FBA7,Eltek ferme dՎnergie (220->48) Eltek Minipack PS Systems 48V (Ref.constructeur : CTOM0602.000 / OS = 2.5.3),RED1
14,CANTE-PE1,3HE06791AA,CANTE,7705SAR-8,1.0,,E-7705SAR-8-006519,6519.0,WPR,PE1,E-CANTE-WPR-PE1-006519,,2022-07-19 15:46:41,,,48AE7608379848EBB2D0D5B3A16E12D2,TiMOS-B-8.0.R7,PE1
15,LOMM5-PE1,3HE09195AA,LOMM5,7750SR-A4,1.0,,E-7750SR-A4-006273,6273.0,WPR,PE1,E-LOMM5-WPR-PE1-006273,,2022-07-19 22:35:09,,,E68F0DD937F44D578C4A13FD4FDD975F,TiMOS-C-19.10.R8,PE1
16,LOMM5-PE2,3HE09195AA,LOMM5,7750SR-A4,28.0,,E-7750SR-A4-006274,6274.0,WPR,PE2,E-LOMM5-WPR-PE2-006274,,2022-07-19 22:35:09,,,91DF51CDC59842C9B69BDFE15965DFC1,TiMOS-C-19.10.R8,PE2
17,LOMM5-FED1,WS-C3650-24TD-E,LOMM5,C3650-24TD,57.0,,E-C3650-24TD-005386,5386.0,LAN,FED1,E-LOMM5-LAN-FED1-005386,,2022-07-19 22:35:09,,,44E3E0FBB16248258428EFC01E0884B9,Version 03.03.05.SE,FED1
18,MORU-AP1,AIR-CAP1602I-E-K9,MORU,CAP1602I-S,69.0,,E-CAP1602I-S-001175,1175.0,LAN,AP1,E-MORU-LAN-WAP01-001175,,2020-01-02 17:16:55,,,EF217AC00E444937989E9793A9A3A516,,AP1
19,MASSY-PE1,3HE06791AA,MASSY,7705SAR-8,1.0,,E-7705SAR-8-005501,5501.0,WPR,PE1,E-MASSY-WPR-PE1-005501,,2022-04-05 12:53:21,,,3143EDF9087349878E4B8F9C60D4D427,TiMOS-B-8.0.R7,PE1
20,MASSY-PE2,3HE06791AA,MASSY,7705SAR-8,19.0,,E-7705SAR-8-005502,5502.0,WPR,PE2,E-MASSY-WPR-PE2-005502,,2022-04-05 12:53:21,,,43219E4B3AE94D74B562D4EEEF97570A,TiMOS-B-8.0.R7,PE2
21,MASSY-FED1,CGS-2520-16S-8PC,MASSY,CGS2520-16S,38.0,,E-CGS2520-16S-004728,4728.0,LAN,FED1,E-MASSY-LAN-FED1-004728,,2022-04-05 12:53:21,,,3E9A7D0B59004DCFB7516E51B2268103,Version 15.2(3)E1,FED1
22,MASSY-FED2,CGS-2520-16S-8PC,MASSY,CGS2520-16S,51.0,,E-CGS2520-16S-004729,4729.0,LAN,FED2,E-MASSY-LAN-FED2-004729,,2022-04-05 12:53:21,,,8B89225C4F6248D6A58EC01F7756A1AA,Version 15.2(3)E1,FED2
23,MASSY-AP1,AIR-CAP1602I-E-K9,MASSY,CAP1602I-S,65.0,,E-CAP1602I-S-000357,357.0,LAN,AP1,E-MASSY-LAN-WAP01-000357,,2022-04-05 12:53:21,,,3817842C437B450E908888C7619698B3,,AP1
24,MASSY-PSS1,8DG60273AA,MASSY,1830PSS-16,69.0,,E-1830PSS-16-000022,22.0,W,PSS1,E-MASSY-W-008-000022,8.0,2022-04-05 12:53:21,,,72FD4A78DDF04B6FBA5BA296F313D6A9,v9.0.2,PSS1
25,MAYET-FED1,CGS-2520-16S-8PC,MAYET,CGS2520-16S,1.0,,E-CGS2520-16S-007200,7200.0,LAN,FED1,E-MAYET-LAN-FED1-007200,,2022-04-05 13:00:58,,,1C3A61ED52E440BBB475918105A313BE,Version 15.2(3)E1,FED1
26,HERBL-PE1,3HE06791AA,HERBL,7705SAR-8,1.0,,E-7705SAR-8-005511,5511.0,WPR,PE1,E-HERBL-WPR-PE1-005511,,2022-07-19 19:51:11,,,8AE7D88838274348A3CF10C56B40998A,TiMOS-B-8.0.R7,PE1
27,HERBL-FED1,CGS-2520-16S-8PC,HERBL,CGS2520-16S,21.0,,E-CGS2520-16S-004740,4740.0,LAN,FED1,E-HERBL-LAN-FED1-004740,,2022-07-19 19:51:11,,,0D4ACD26FAEB4A3BBA139164EC6310F1,Version 15.2(3)E1,FED1
28,HERBL-FED2,CGS-2520-16S-8PC,HERBL,CGS2520-16S,35.0,,E-CGS2520-16S-004741,4741.0,LAN,FED2,E-HERBL-LAN-FED2-004741,,2022-07-19 19:51:11,,,66B9EAB78684457EAA0D87AA03FEACE5,Version 15.2(3)E1,FED2
29,HERBL-AP1,AIR-CAP1602I-E-K9,HERBL,CAP1602I-S,49.0,,E-CAP1602I-S-000362,362.0,LAN,AP1,E-HERBL-LAN-WAP01-000362,,2022-07-19 19:51:11,,,A63C11E136F24981B08BA596E9599CF1,,AP1
30,HERBL-CPE1,LBB210,HERBL,RTR OPERE,53.0,,E-RTR OPERE-005542,5542.0,WOP,CPE1,E-HERBL-WOP-CPE1-005542,,2022-07-19 19:51:11,,,E0234F94E6E14F0F900D457B385D33D3,,CPE1
31,HERBL-RED1,INF-AES-1200,HERBL,ELTEK-RED48V,54.0,,E-ELTEK-RED48V-066823,66823.0,AES,RED1,E-HERBL-AES-RED1-066823,,2022-07-19 19:51:11,,,9A9E5DD0C2B14298B741393DABBF5B6C,Eltek ferme dՎnergie (220->48) Eltek Minipack PS Systems 48V (Ref.constructeur : CTOM0602.000 / OS = 2.5.3),RED1
32,GRAVE-PE1,3HE06791AA,GRAVE,7705SAR-8,1.0,,E-7705SAR-8-007353,7353.0,WPR,PE1,E-GRAVE-WPR-PE1-007353,,2022-07-19 21:08:04,,,9EEDEC0DC37442B99B9D8120669A1739,TiMOS-B-8.0.R7,PE1
33,LONG4-PE1,3HE06791AA,LONG4,7705SAR-8,1.0,,E-7705SAR-8-010034,10034.0,WPR,PE1,E-LONG4-WPR-PE1-010034,,2022-10-24 16:40:20,,,681E9DB183EC406F9DE7206A81D1AC8D,TiMOS-B-8.0.R7,PE1
