,NUM_STOCK,ID_COMPOSANT,SN,STATUT,N_CDE_CLI,DT_CDE_CLI,N_CDE_OBI,DT_CDE_OBI,DT_RECEP_STK,DT_ENT_STK,DT_ENT_SIT,COMMENTAIRE,LOCALISATION,CODNAT_OLD,HOSTNAME_STAGING,DATE_CREATION,USER
0,1,WS-C4500X-32SFP+,JAE192904CV,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
1,2,WS-C4500X-32SFP+,JAE1930082Y,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
2,3,WS-C4500X-32SFP+,JAE193008A4,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
3,4,WS-C4500X-32SFP+,JAE193008AE,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
4,5,C4KX-PWR-750AC-R/2,POG19098THQ,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
5,6,C4KX-PWR-750AC-R/2,POG19128T1J,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
6,7,C4KX-PWR-750AC-R/2,POG19128T9Z,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
7,8,C4KX-PWR-750AC-R/2,POG19128TAE,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
8,9,C4KX-PWR-750AC-R,POG19128T0K,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
9,10,C4KX-PWR-750AC-R,POG19128T2U,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
10,11,C4KX-PWR-750AC-R,POG19128T4C,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
11,12,C4KX-PWR-750AC-R,POG19128T4N,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
12,13,SFP-H10GB-CU5M,LRM191790H4,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
13,14,SFP-H10GB-CU5M,LRM191790JB,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
14,15,SFP-H10GB-CU5M,LRM191791RS,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
15,16,SFP-H10GB-CU5M,LRM191792EJ,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
16,17,SFP-10G-SR,AVD1927A8ZT,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
17,18,SFP-10G-SR,AVD1927A8ZZ,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
18,19,SFP-10G-SR,AVD1927A906,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
19,20,SFP-10G-SR,AVD1927A90C,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
20,21,SFP-10G-SR,AVD1927AAE4,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
21,22,SFP-10G-SR,AVD1927AAES,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
22,23,SFP-10G-SR,AVD1927AAFJ,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
23,24,SFP-10G-SR,AVD1927AAH5,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
24,25,SFP-10G-SR,AVD1927A8V0,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
25,26,SFP-10G-SR,AVD1927A8V3,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
26,27,SFP-10G-SR,AVD1927A8V5,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
27,28,SFP-10G-SR,AVD1927A8VF,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
28,29,SFP-10G-SR,AVD1927A8VJ,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
29,30,SFP-10G-SR,AVD1927A8VK,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
30,31,SFP-10G-SR,AVD1927A8W2,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
31,32,SFP-10G-SR,AVD1927A8X6,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
32,33,SFP-10G-SR,AVD1927A8Y0,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
33,34,SFP-10G-SR,AVD1927A8Y2,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
34,35,SFP-10G-SR,AVD1927A8ZJ,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
35,36,SFP-10G-SR,AVD1927A8ZK,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
36,37,SFP-10G-SR,AVD1927A8ZM,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
37,38,SFP-10G-SR,AVD1927A8ZN,ENTREE,6100122360.0,,99332872,,,2016-01-01,,,,,,,
